"days","degdays","subj","taxa","type","counts","fracBySubjDay"
0,0,"A5","Ranunculales","euk",0,0
0,0,"A5","Rare","bac",5235,0.0904691955413463
0,0,"A5","Rare","euk",38,0.0110884155237817
0,0,"A5","Rhabditida","euk",1296,0.378173329442661
0,0,"A5","Rhynchogastremataceae","euk",0,0
0,0,"A5","Rikenellaceae","bac",2,3.45632074656528e-05
0,0,"A5","Ruminococcaceae","bac",1772,0.0306230018145684
0,0,"A5","Saccharomycetaceae","euk",594,0.17332944266122
0,0,"A5","Saccharomycodaceae","euk",0,0
0,0,"A5","Sphaeropleales","euk",0,0
0,0,"A5","Sphingobacteriaceae","bac",965,0.0166767476021775
0,0,"A5","Sporidiobolaceae","euk",1,0.000291800408520572
0,0,"A5","Staphylococcaceae","bac",2672,0.0461764451741122
0,0,"A5","Streptococcaceae","bac",774,0.0133759612892076
0,0,"A5","Streptomycetaceae","bac",2,3.45632074656528e-05
0,0,"A5","Taphrinaceae","euk",0,0
0,0,"A5","Tissierellaceae","bac",2682,0.0463492612114404
0,0,"A5","Trichosporonaceae","euk",74,0.0215932302305223
0,0,"A5","Trichostomatia","euk",637,0.185876860227604
0,0,"A5","Turicibacteraceae","bac",446,0.00770759526484058
0,0,"A5","Ustilaginaceae","euk",0,0
0,0,"A5","Veillonellaceae","bac",550,0.00950488205305452
0,0,"A5","Weeksellaceae","bac",1886,0.0325931046401106
0,0,"A5","Xanthomonadaceae","bac",1101,0.0190270457098419
0,0,"A6","Acari","euk",0,0
0,0,"A6","Aerococcaceae","bac",1033,0.0211212889506829
0,0,"A6","Ascaridida","euk",3,0.000691244239631336
0,0,"A6","Aspergillaceae","euk",46,0.0105990783410138
0,0,"A6","Bacillaceae","bac",486,0.00993702461764946
0,0,"A6","Bifidobacteriaceae","bac",148,0.00302608980125951
0,0,"A6","Brevibacteriaceae","bac",904,0.0184836836509365
0,0,"A6","Carnobacteriaceae","bac",1124,0.0229819252474033
0,0,"A6","Caulobacteraceae","bac",275,0.00562280199558354
0,0,"A6","Christensenellaceae","bac",106,0.00216733458738857
0,0,"A6","Chromulinales","euk",17,0.00391705069124424
0,0,"A6","Cladosporiaceae","euk",14,0.0032258064516129
0,0,"A6","Clostridiaceae","bac",3844,0.0785965486219024
0,0,"A6","Coleoptera","euk",0,0
0,0,"A6","Collembola","euk",0,0
0,0,"A6","Comamonadaceae","bac",780,0.0159483111147461
0,0,"A6","Corynebacteriaceae","bac",2097,0.0428764210354134
0,0,"A6","Debaryomycetaceae","euk",222,0.0511520737327189
0,0,"A6","Dermabacteraceae","bac",862,0.0176249284370655
0,0,"A6","Didymellaceae","euk",0,0
0,0,"A6","Dietziaceae","bac",798,0.0163163490635479
0,0,"A6","Dipodascaceae","euk",1,0.000230414746543779
0,0,"A6","Diptera","euk",171,0.0394009216589862
0,0,"A6","Eimeriorina","euk",13,0.00299539170506912
0,0,"A6","Enterobacteriaceae","bac",12221,0.249877320683733
0,0,"A6","Enterococcaceae","bac",462,0.00944630735258035
0,0,"A6","Eustigmatales","euk",13,0.00299539170506912
0,0,"A6","Fabales","euk",30,0.00691244239631336
0,0,"A6","Flavobacteriaceae","bac",1325,0.0270916823423571
0,0,"A6","Haptoria","euk",1,0.000230414746543779
0,0,"A6","Herpotrichiellaceae","euk",1,0.000230414746543779
0,0,"A6","Hypotrichia","euk",7,0.00161290322580645
0,0,"A6","Intrasporangiaceae","bac",511,0.0104481884354298
0,0,"A6","Lachnospiraceae","bac",328,0.00670646928927783
0,0,"A6","Lactobacillaceae","bac",832,0.0170115318557291
0,0,"A6","Lichtheimiaceae","euk",2,0.000460829493087558
